email,password,total_amount,shipping_address
admin@eshop.com,Admin123!,250000,"12 Nguyen Trai, District 1, Ho Chi Minh City"
admin@eshop.com,Admin123!,275000,"45 Le Loi, District 3, Ho Chi Minh City"
admin@eshop.com,Admin123!,300000,"88 Tran Hung Dao, District 5, Ho Chi Minh City"
admin@eshop.com,Admin123!,325000,"21 Pasteur, District 1, Ho Chi Minh City"
admin@eshop.com,Admin123!,350000,"100 Nguyen Hue, District 1, Ho Chi Minh City"
admin@eshop.com,Admin123!,375000,"7 Vo Van Tan, District 3, Ho Chi Minh City"
admin@eshop.com,Admin123!,400000,"55 Pham Ngu Lao, District 1, Ho Chi Minh City"
admin@eshop.com,Admin123!,425000,"19 Hai Ba Trung, District 1, Ho Chi Minh City"
admin@eshop.com,Admin123!,450000,"31 Nguyen Van Cu, District 5, Ho Chi Minh City"
admin@eshop.com,Admin123!,475000,"9 Cach Mang Thang Tam, District 10, Ho Chi Minh City"
admin@eshop.com,Admin123!,500000,"12 Nguyen Trai, District 1, Ho Chi Minh City"
admin@eshop.com,Admin123!,525000,"45 Le Loi, District 3, Ho Chi Minh City"
admin@eshop.com,Admin123!,550000,"88 Tran Hung Dao, District 5, Ho Chi Minh City"
admin@eshop.com,Admin123!,575000,"21 Pasteur, District 1, Ho Chi Minh City"
admin@eshop.com,Admin123!,600000,"100 Nguyen Hue, District 1, Ho Chi Minh City"
