tc_id,technique,case_kind,auth_token,cart_setup,shipping_address,shipping_address_raw,total_amount,total_amount_raw,extra_field,content_type,body_raw_override,expected_status,expected_status_note,expected_side_effect_note,tc_ref,trace,endpoint_override
TC-01,EP,contract,valid_userA,userA:2_items_typical,"123 Le Loi, TP.HCM",,REAL_CART_TOTAL,,,application/json,,,UNSPECIFIED accepted exact code not documented,order created; cart cleared,,"EC-01, EC-07, EC-12 (cross-ref); `api_specification.md` 4.3 lines 151-161",
TC-02,EP,characterization,valid_userA,userA:nonempty,,,REAL_CART_TOTAL,,,application/json,,,UNSPECIFIED,record actual behavior,,"EC-02 (cross-ref); `api_specification.md` 4.3 lines 156-161 — `shipping_address` appears only as an example value, no constraint or validation rule is stated anywhere, which is the location establishing the silence",
TC-03,EP,characterization,valid_userA,userA:nonempty,,OMIT_KEY,REAL_CART_TOTAL,,,application/json,,,UNSPECIFIED,record actual behavior,,EC-03 (cross-ref); `api_specification.md` 4.3 lines 156-161 — the body example shows the field present but no source states whether it is required,
TC-04,EP,characterization,valid_userA,userA:nonempty,,RAW_TYPE_NULL,REAL_CART_TOTAL,,,application/json,,,UNSPECIFIED,record actual behavior,,EC-04 (cross-ref); `api_specification.md` 4.3 lines 156-161 — no source states null-handling for `shipping_address`,
TC-05,EP,characterization,valid_userA,userA:nonempty,LONG_STRING_5000_CHARS,,REAL_CART_TOTAL,,,application/json,,,UNSPECIFIED,record actual behavior; no documented max length,,"EC-05 (cross-ref); `api_specification.md` 4.3 lines 156-161 — no maximum length for `shipping_address` is stated in any source, so no boundary is asserted",
TC-06,EP,contract,valid_userA,userA:nonempty,12345,RAW_TYPE_NUMBER,REAL_CART_TOTAL,,,application/json,,,UNSPECIFIED,record actual behavior,,EC-06 (cross-ref); `api_specification.md` 4.3 lines 156-161 (string type shown by example),
TC-07,EP,contract,valid_userA,userA:nonempty_known_total_500000,"123 Le Loi, TP.HCM",,1,,,application/json,,,UNSPECIFIED accepted per FR-08 recompute rule,resulting order total must equal real cart total not 1 (checked in TC-30),,EC-08 (cross-ref); `srs.md` FR-08 line 107; composite with SEC-C-06,
TC-08,EP,characterization,valid_userA,userA:nonempty,"123 Le Loi, TP.HCM",,,OMIT_KEY,,application/json,,,UNSPECIFIED,record actual behavior,,"EC-09 (cross-ref); `api_specification.md` 4.3 lines 156-161 (field shown in the example, requiredness not stated); `srs.md` FR-08 line 107 (the submitted value is documented as non-authoritative, which is what makes the omission's effect undefined)",
TC-09,EP,contract,valid_userA,userA:nonempty,"123 Le Loi, TP.HCM",,-1,,,application/json,,,UNSPECIFIED,record actual behavior; also repeat this row with total_amount=0,,EC-10 (cross-ref); `srs.md` FR-08 line 107,
TC-10,EP,characterization,valid_userA,userA:nonempty,"123 Le Loi, TP.HCM",,abc,RAW_TYPE_STRING,,application/json,,,UNSPECIFIED,record actual behavior,,EC-11 (cross-ref); `api_specification.md` 4.3 lines 156-161 — `total_amount` appears as a JSON number in the example; no source states type-validation behavior,
TC-11,EP,contract,MISSING,userA:nonempty,"123 Le Loi, TP.HCM",,REAL_CART_TOTAL,,,application/json,,,UNSPECIFIED rejected exact code not documented,no order created; cart unchanged,,EC-13 (cross-ref); `api_specification.md` line 131 (section 4 header requiring `Authorization: Bearer <token>`); `srs.md` FR-08 line 104; composite with SEC-C-01,
